pixAcc:19.0000,mIoU:100569.0000,cost:0.033s
pixAcc:4.0000,mIoU:94843.0000,cost:0.013s
pixAcc:13.0000,mIoU:104357.0000,cost:0.013s
pixAcc:9.0000,mIoU:116252.0000,cost:0.013s
pixAcc:2.0000,mIoU:107959.0000,cost:0.013s
pixAcc:4.0000,mIoU:99750.0000,cost:0.013s
pixAcc:13.0000,mIoU:130954.0000,cost:0.013s
pixAcc:28.0000,mIoU:153225.0000,cost:0.013s
pixAcc:6.0000,mIoU:113917.0000,cost:0.013s
pixAcc:5.0000,mIoU:105593.0000,cost:0.013s
pixAcc:12.0000,mIoU:123703.0000,cost:0.013s
pixAcc:15.0000,mIoU:141766.0000,cost:0.013s
pixAcc:2.0000,mIoU:131909.0000,cost:0.013s
pixAcc:12.0000,mIoU:135996.0000,cost:0.013s
pixAcc:16.0000,mIoU:118172.0000,cost:0.013s
pixAcc:8.0000,mIoU:132005.0000,cost:0.013s
pixAcc:1.0000,mIoU:109569.0000,cost:0.013s
pixAcc:34.0000,mIoU:120069.0000,cost:0.013s
pixAcc:14.0000,mIoU:132469.0000,cost:0.013s
pixAcc:8.0000,mIoU:152554.0000,cost:0.013s
pixAcc:13.0000,mIoU:133333.0000,cost:0.013s
pixAcc:12.0000,mIoU:145139.0000,cost:0.013s
pixAcc:6.0000,mIoU:84381.0000,cost:0.013s
pixAcc:1.0000,mIoU:123825.0000,cost:0.013s
pixAcc:12.0000,mIoU:117603.0000,cost:0.013s
pixAcc:8.0000,mIoU:119111.0000,cost:0.013s
pixAcc:4.0000,mIoU:92343.0000,cost:0.013s
pixAcc:3.0000,mIoU:98627.0000,cost:0.018s
pixAcc:0.0000,mIoU:120396.0000,cost:0.013s
pixAcc:3.0000,mIoU:113095.0000,cost:0.013s
pixAcc:12.0000,mIoU:126988.0000,cost:0.013s
pixAcc:1.0000,mIoU:87927.0000,cost:0.013s
pixAcc:0.0000,mIoU:98021.0000,cost:0.013s
pixAcc:17.0000,mIoU:90389.0000,cost:0.013s
pixAcc:1.0000,mIoU:117687.0000,cost:0.013s
pixAcc:0.0000,mIoU:98569.0000,cost:0.013s
pixAcc:6.0000,mIoU:88669.0000,cost:0.013s
pixAcc:3.0000,mIoU:137011.0000,cost:0.013s
pixAcc:18.0000,mIoU:103610.0000,cost:0.013s
pixAcc:8.0000,mIoU:114387.0000,cost:0.013s
pixAcc:6.0000,mIoU:119459.0000,cost:0.013s
pixAcc:0.0000,mIoU:99167.0000,cost:0.013s
pixAcc:1.0000,mIoU:105865.0000,cost:0.013s
pixAcc:26.0000,mIoU:119943.0000,cost:0.013s
pixAcc:5.0000,mIoU:153329.0000,cost:0.013s
pixAcc:2.0000,mIoU:90474.0000,cost:0.013s
pixAcc:1.0000,mIoU:141994.0000,cost:0.013s
pixAcc:11.0000,mIoU:96960.0000,cost:0.013s
pixAcc:4.0000,mIoU:111177.0000,cost:0.013s
pixAcc:1.0000,mIoU:110436.0000,cost:0.013s
pixAcc:3.0000,mIoU:85639.0000,cost:0.013s
pixAcc:5.0000,mIoU:132646.0000,cost:0.013s
pixAcc:5.0000,mIoU:96460.0000,cost:0.013s
pixAcc:0.0000,mIoU:100654.0000,cost:0.013s
