pixAcc:21074.0000,mIoU:100569.0000,cost:0.034s
pixAcc:21672.0000,mIoU:94843.0000,cost:0.013s
pixAcc:21884.0000,mIoU:104357.0000,cost:0.013s
pixAcc:18525.0000,mIoU:116252.0000,cost:0.013s
pixAcc:16297.0000,mIoU:107959.0000,cost:0.013s
pixAcc:19142.0000,mIoU:99750.0000,cost:0.014s
pixAcc:22842.0000,mIoU:130954.0000,cost:0.013s
pixAcc:32024.0000,mIoU:153225.0000,cost:0.013s
pixAcc:23996.0000,mIoU:113917.0000,cost:0.013s
pixAcc:21507.0000,mIoU:105593.0000,cost:0.013s
pixAcc:25386.0000,mIoU:123703.0000,cost:0.013s
pixAcc:21167.0000,mIoU:141766.0000,cost:0.013s
pixAcc:26340.0000,mIoU:131909.0000,cost:0.013s
pixAcc:26762.0000,mIoU:135996.0000,cost:0.013s
pixAcc:25771.0000,mIoU:118172.0000,cost:0.013s
pixAcc:20541.0000,mIoU:132005.0000,cost:0.013s
pixAcc:18909.0000,mIoU:109569.0000,cost:0.013s
pixAcc:26130.0000,mIoU:120069.0000,cost:0.013s
pixAcc:26605.0000,mIoU:132469.0000,cost:0.013s
pixAcc:37714.0000,mIoU:152554.0000,cost:0.013s
pixAcc:22821.0000,mIoU:133333.0000,cost:0.013s
pixAcc:23240.0000,mIoU:145139.0000,cost:0.013s
pixAcc:11197.0000,mIoU:84381.0000,cost:0.013s
pixAcc:19312.0000,mIoU:123825.0000,cost:0.013s
pixAcc:21726.0000,mIoU:117603.0000,cost:0.013s
pixAcc:25344.0000,mIoU:119111.0000,cost:0.013s
pixAcc:17108.0000,mIoU:92343.0000,cost:0.013s
pixAcc:20820.0000,mIoU:98627.0000,cost:0.013s
pixAcc:15154.0000,mIoU:120396.0000,cost:0.013s
pixAcc:19323.0000,mIoU:113095.0000,cost:0.013s
pixAcc:20014.0000,mIoU:126988.0000,cost:0.013s
pixAcc:15361.0000,mIoU:87927.0000,cost:0.013s
pixAcc:15610.0000,mIoU:98021.0000,cost:0.013s
pixAcc:22215.0000,mIoU:90389.0000,cost:0.013s
pixAcc:19837.0000,mIoU:117687.0000,cost:0.013s
pixAcc:15522.0000,mIoU:98569.0000,cost:0.013s
pixAcc:15471.0000,mIoU:88669.0000,cost:0.013s
pixAcc:25158.0000,mIoU:137011.0000,cost:0.013s
pixAcc:17700.0000,mIoU:103610.0000,cost:0.012s
pixAcc:23473.0000,mIoU:114387.0000,cost:0.013s
pixAcc:18715.0000,mIoU:119459.0000,cost:0.012s
pixAcc:17002.0000,mIoU:99167.0000,cost:0.013s
pixAcc:18866.0000,mIoU:105865.0000,cost:0.013s
pixAcc:18214.0000,mIoU:119943.0000,cost:0.013s
pixAcc:24096.0000,mIoU:153329.0000,cost:0.013s
pixAcc:23917.0000,mIoU:90474.0000,cost:0.013s
pixAcc:25280.0000,mIoU:141994.0000,cost:0.013s
pixAcc:20341.0000,mIoU:96960.0000,cost:0.013s
pixAcc:27430.0000,mIoU:111177.0000,cost:0.013s
pixAcc:28434.0000,mIoU:110436.0000,cost:0.013s
pixAcc:18513.0000,mIoU:85639.0000,cost:0.012s
pixAcc:21723.0000,mIoU:132646.0000,cost:0.012s
pixAcc:12915.0000,mIoU:96460.0000,cost:0.012s
pixAcc:21991.0000,mIoU:100654.0000,cost:0.012s
