pixAcc:1638.0000,mIoU:100569.0000,cost:0.033s
pixAcc:1283.0000,mIoU:94843.0000,cost:0.012s
pixAcc:1628.0000,mIoU:104357.0000,cost:0.012s
pixAcc:1262.0000,mIoU:116252.0000,cost:0.012s
pixAcc:1553.0000,mIoU:107959.0000,cost:0.012s
pixAcc:1133.0000,mIoU:99750.0000,cost:0.012s
pixAcc:1536.0000,mIoU:130954.0000,cost:0.012s
pixAcc:1253.0000,mIoU:153225.0000,cost:0.013s
pixAcc:1647.0000,mIoU:113917.0000,cost:0.012s
pixAcc:1666.0000,mIoU:105593.0000,cost:0.013s
pixAcc:953.0000,mIoU:123703.0000,cost:0.013s
pixAcc:1169.0000,mIoU:141766.0000,cost:0.012s
pixAcc:1558.0000,mIoU:131909.0000,cost:0.013s
pixAcc:1922.0000,mIoU:135996.0000,cost:0.012s
pixAcc:1158.0000,mIoU:118172.0000,cost:0.012s
pixAcc:1138.0000,mIoU:132005.0000,cost:0.012s
pixAcc:1015.0000,mIoU:109569.0000,cost:0.012s
pixAcc:1602.0000,mIoU:120069.0000,cost:0.012s
pixAcc:1241.0000,mIoU:132469.0000,cost:0.012s
pixAcc:1392.0000,mIoU:152554.0000,cost:0.012s
pixAcc:1069.0000,mIoU:133333.0000,cost:0.012s
pixAcc:1318.0000,mIoU:145139.0000,cost:0.012s
pixAcc:1445.0000,mIoU:84381.0000,cost:0.012s
pixAcc:1806.0000,mIoU:123825.0000,cost:0.012s
pixAcc:1151.0000,mIoU:117603.0000,cost:0.012s
pixAcc:2055.0000,mIoU:119111.0000,cost:0.012s
pixAcc:1378.0000,mIoU:92343.0000,cost:0.012s
pixAcc:1602.0000,mIoU:98627.0000,cost:0.012s
pixAcc:1851.0000,mIoU:120396.0000,cost:0.012s
pixAcc:1398.0000,mIoU:113095.0000,cost:0.012s
pixAcc:1355.0000,mIoU:126988.0000,cost:0.012s
pixAcc:2016.0000,mIoU:87927.0000,cost:0.012s
pixAcc:1209.0000,mIoU:98021.0000,cost:0.012s
pixAcc:1607.0000,mIoU:90389.0000,cost:0.012s
pixAcc:1125.0000,mIoU:117687.0000,cost:0.012s
pixAcc:1188.0000,mIoU:98569.0000,cost:0.012s
pixAcc:1421.0000,mIoU:88669.0000,cost:0.012s
pixAcc:1215.0000,mIoU:137011.0000,cost:0.012s
pixAcc:1141.0000,mIoU:103610.0000,cost:0.012s
pixAcc:1508.0000,mIoU:114387.0000,cost:0.012s
pixAcc:913.0000,mIoU:119459.0000,cost:0.012s
pixAcc:1396.0000,mIoU:99167.0000,cost:0.012s
pixAcc:1677.0000,mIoU:105865.0000,cost:0.012s
pixAcc:1106.0000,mIoU:119943.0000,cost:0.012s
pixAcc:1061.0000,mIoU:153329.0000,cost:0.012s
pixAcc:2346.0000,mIoU:90474.0000,cost:0.012s
pixAcc:1082.0000,mIoU:141994.0000,cost:0.012s
pixAcc:1597.0000,mIoU:96960.0000,cost:0.012s
pixAcc:2120.0000,mIoU:111177.0000,cost:0.012s
pixAcc:1773.0000,mIoU:110436.0000,cost:0.012s
pixAcc:1482.0000,mIoU:85639.0000,cost:0.012s
pixAcc:1141.0000,mIoU:132646.0000,cost:0.012s
pixAcc:1182.0000,mIoU:96460.0000,cost:0.012s
pixAcc:1626.0000,mIoU:100654.0000,cost:0.012s
