pixAcc:80757.0000,mIoU:101705.0000,cost:0.035s
pixAcc:78587.0000,mIoU:101099.0000,cost:0.014s
pixAcc:84016.0000,mIoU:115830.0000,cost:0.014s
pixAcc:94509.0000,mIoU:125604.0000,cost:0.014s
pixAcc:89571.0000,mIoU:115602.0000,cost:0.014s
pixAcc:83041.0000,mIoU:106673.0000,cost:0.014s
pixAcc:106426.0000,mIoU:137209.0000,cost:0.014s
pixAcc:123432.0000,mIoU:169920.0000,cost:0.014s
pixAcc:92291.0000,mIoU:125247.0000,cost:0.013s
pixAcc:86487.0000,mIoU:110240.0000,cost:0.013s
pixAcc:103181.0000,mIoU:139162.0000,cost:0.013s
pixAcc:116335.0000,mIoU:143859.0000,cost:0.013s
pixAcc:108023.0000,mIoU:136753.0000,cost:0.013s
pixAcc:111457.0000,mIoU:138200.0000,cost:0.013s
pixAcc:97121.0000,mIoU:119688.0000,cost:0.013s
pixAcc:108362.0000,mIoU:136183.0000,cost:0.013s
pixAcc:89328.0000,mIoU:111136.0000,cost:0.013s
pixAcc:100651.0000,mIoU:129998.0000,cost:0.013s
pixAcc:105848.0000,mIoU:133861.0000,cost:0.013s
pixAcc:126099.0000,mIoU:160276.0000,cost:0.013s
pixAcc:107417.0000,mIoU:138484.0000,cost:0.013s
pixAcc:118426.0000,mIoU:150260.0000,cost:0.013s
pixAcc:69654.0000,mIoU:91978.0000,cost:0.013s
pixAcc:101987.0000,mIoU:125839.0000,cost:0.013s
pixAcc:95573.0000,mIoU:135849.0000,cost:0.013s
pixAcc:99353.0000,mIoU:130521.0000,cost:0.013s
pixAcc:76390.0000,mIoU:99422.0000,cost:0.013s
pixAcc:82164.0000,mIoU:101762.0000,cost:0.013s
pixAcc:98146.0000,mIoU:125880.0000,cost:0.013s
pixAcc:93134.0000,mIoU:125585.0000,cost:0.013s
pixAcc:104517.0000,mIoU:128335.0000,cost:0.013s
pixAcc:72062.0000,mIoU:102513.0000,cost:0.013s
pixAcc:80826.0000,mIoU:102034.0000,cost:0.013s
pixAcc:74122.0000,mIoU:101952.0000,cost:0.013s
pixAcc:97409.0000,mIoU:118413.0000,cost:0.013s
pixAcc:81412.0000,mIoU:99951.0000,cost:0.013s
pixAcc:70935.0000,mIoU:95055.0000,cost:0.013s
pixAcc:111072.0000,mIoU:138298.0000,cost:0.013s
pixAcc:84449.0000,mIoU:104598.0000,cost:0.013s
pixAcc:93362.0000,mIoU:116413.0000,cost:0.013s
pixAcc:98483.0000,mIoU:123807.0000,cost:0.013s
pixAcc:79662.0000,mIoU:104831.0000,cost:0.013s
pixAcc:86342.0000,mIoU:110249.0000,cost:0.013s
pixAcc:97844.0000,mIoU:120994.0000,cost:0.013s
pixAcc:124373.0000,mIoU:159697.0000,cost:0.013s
pixAcc:74104.0000,mIoU:100230.0000,cost:0.013s
pixAcc:115110.0000,mIoU:142904.0000,cost:0.013s
pixAcc:76926.0000,mIoU:102767.0000,cost:0.013s
pixAcc:91701.0000,mIoU:127703.0000,cost:0.013s
pixAcc:89475.0000,mIoU:124990.0000,cost:0.013s
pixAcc:70604.0000,mIoU:97075.0000,cost:0.013s
pixAcc:109626.0000,mIoU:140001.0000,cost:0.013s
pixAcc:79135.0000,mIoU:108611.0000,cost:0.013s
pixAcc:83080.0000,mIoU:102338.0000,cost:0.013s
