pixAcc:1049.0000,mIoU:100569.0000,cost:0.034s
pixAcc:1023.0000,mIoU:94843.0000,cost:0.013s
pixAcc:1158.0000,mIoU:104357.0000,cost:0.013s
pixAcc:1497.0000,mIoU:116252.0000,cost:0.013s
pixAcc:558.0000,mIoU:107959.0000,cost:0.013s
pixAcc:1831.0000,mIoU:99750.0000,cost:0.013s
pixAcc:3272.0000,mIoU:130954.0000,cost:0.013s
pixAcc:3727.0000,mIoU:153225.0000,cost:0.013s
pixAcc:4360.0000,mIoU:113917.0000,cost:0.013s
pixAcc:1505.0000,mIoU:105593.0000,cost:0.013s
pixAcc:1334.0000,mIoU:123703.0000,cost:0.013s
pixAcc:1463.0000,mIoU:141766.0000,cost:0.013s
pixAcc:4923.0000,mIoU:131909.0000,cost:0.013s
pixAcc:855.0000,mIoU:135996.0000,cost:0.013s
pixAcc:1648.0000,mIoU:118172.0000,cost:0.013s
pixAcc:1170.0000,mIoU:132005.0000,cost:0.013s
pixAcc:2125.0000,mIoU:109569.0000,cost:0.013s
pixAcc:401.0000,mIoU:120069.0000,cost:0.013s
pixAcc:1197.0000,mIoU:132469.0000,cost:0.013s
pixAcc:5647.0000,mIoU:152554.0000,cost:0.013s
pixAcc:1247.0000,mIoU:133333.0000,cost:0.013s
pixAcc:907.0000,mIoU:145139.0000,cost:0.013s
pixAcc:779.0000,mIoU:84381.0000,cost:0.013s
pixAcc:815.0000,mIoU:123825.0000,cost:0.013s
pixAcc:951.0000,mIoU:117603.0000,cost:0.012s
pixAcc:2462.0000,mIoU:119111.0000,cost:0.014s
pixAcc:1157.0000,mIoU:92343.0000,cost:0.013s
pixAcc:1174.0000,mIoU:98627.0000,cost:0.013s
pixAcc:1161.0000,mIoU:120396.0000,cost:0.013s
pixAcc:3730.0000,mIoU:113095.0000,cost:0.013s
pixAcc:1402.0000,mIoU:126988.0000,cost:0.013s
pixAcc:1783.0000,mIoU:87927.0000,cost:0.013s
pixAcc:1346.0000,mIoU:98021.0000,cost:0.013s
pixAcc:4415.0000,mIoU:90389.0000,cost:0.013s
pixAcc:1434.0000,mIoU:117687.0000,cost:0.013s
pixAcc:1038.0000,mIoU:98569.0000,cost:0.012s
pixAcc:1434.0000,mIoU:88669.0000,cost:0.012s
pixAcc:1216.0000,mIoU:137011.0000,cost:0.012s
pixAcc:1469.0000,mIoU:103610.0000,cost:0.012s
pixAcc:1163.0000,mIoU:114387.0000,cost:0.012s
pixAcc:1701.0000,mIoU:119459.0000,cost:0.014s
pixAcc:1941.0000,mIoU:99167.0000,cost:0.013s
pixAcc:805.0000,mIoU:105865.0000,cost:0.013s
pixAcc:1980.0000,mIoU:119943.0000,cost:0.013s
pixAcc:2144.0000,mIoU:153329.0000,cost:0.013s
pixAcc:1612.0000,mIoU:90474.0000,cost:0.013s
pixAcc:2192.0000,mIoU:141994.0000,cost:0.013s
pixAcc:1439.0000,mIoU:96960.0000,cost:0.013s
pixAcc:4214.0000,mIoU:111177.0000,cost:0.013s
pixAcc:4508.0000,mIoU:110436.0000,cost:0.013s
pixAcc:1782.0000,mIoU:85639.0000,cost:0.014s
pixAcc:1123.0000,mIoU:132646.0000,cost:0.013s
pixAcc:1858.0000,mIoU:96460.0000,cost:0.013s
pixAcc:1482.0000,mIoU:100654.0000,cost:0.014s
