pixAcc:81684.0000,mIoU:100569.0000,cost:0.035s
pixAcc:77404.0000,mIoU:94843.0000,cost:0.014s
pixAcc:83709.0000,mIoU:104357.0000,cost:0.014s
pixAcc:94374.0000,mIoU:116252.0000,cost:0.014s
pixAcc:88996.0000,mIoU:107959.0000,cost:0.014s
pixAcc:81683.0000,mIoU:99750.0000,cost:0.014s
pixAcc:106380.0000,mIoU:130954.0000,cost:0.014s
pixAcc:123687.0000,mIoU:153225.0000,cost:0.014s
pixAcc:91083.0000,mIoU:113917.0000,cost:0.014s
pixAcc:85773.0000,mIoU:105593.0000,cost:0.014s
pixAcc:100974.0000,mIoU:123703.0000,cost:0.014s
pixAcc:115655.0000,mIoU:141766.0000,cost:0.014s
pixAcc:107472.0000,mIoU:131909.0000,cost:0.014s
pixAcc:109832.0000,mIoU:135996.0000,cost:0.014s
pixAcc:95612.0000,mIoU:118172.0000,cost:0.014s
pixAcc:107752.0000,mIoU:132005.0000,cost:0.014s
pixAcc:88472.0000,mIoU:109569.0000,cost:0.014s
pixAcc:98113.0000,mIoU:120069.0000,cost:0.014s
pixAcc:105132.0000,mIoU:132469.0000,cost:0.014s
pixAcc:124404.0000,mIoU:152554.0000,cost:0.014s
pixAcc:107261.0000,mIoU:133333.0000,cost:0.014s
pixAcc:117866.0000,mIoU:145139.0000,cost:0.014s
pixAcc:68192.0000,mIoU:84381.0000,cost:0.014s
pixAcc:101247.0000,mIoU:123825.0000,cost:0.014s
pixAcc:95099.0000,mIoU:117603.0000,cost:0.014s
pixAcc:97752.0000,mIoU:119111.0000,cost:0.014s
pixAcc:75206.0000,mIoU:92343.0000,cost:0.014s
pixAcc:80246.0000,mIoU:98627.0000,cost:0.014s
pixAcc:98266.0000,mIoU:120396.0000,cost:0.014s
pixAcc:92521.0000,mIoU:113095.0000,cost:0.014s
pixAcc:103605.0000,mIoU:126988.0000,cost:0.014s
pixAcc:70892.0000,mIoU:87927.0000,cost:0.014s
pixAcc:79747.0000,mIoU:98021.0000,cost:0.014s
pixAcc:74001.0000,mIoU:90389.0000,cost:0.014s
pixAcc:95470.0000,mIoU:117687.0000,cost:0.014s
pixAcc:80002.0000,mIoU:98569.0000,cost:0.014s
pixAcc:69890.0000,mIoU:88669.0000,cost:0.014s
pixAcc:109910.0000,mIoU:137011.0000,cost:0.014s
pixAcc:83820.0000,mIoU:103610.0000,cost:0.014s
pixAcc:92151.0000,mIoU:114387.0000,cost:0.014s
pixAcc:97639.0000,mIoU:119459.0000,cost:0.014s
pixAcc:79139.0000,mIoU:99167.0000,cost:0.014s
pixAcc:85934.0000,mIoU:105865.0000,cost:0.014s
pixAcc:97362.0000,mIoU:119943.0000,cost:0.014s
pixAcc:124682.0000,mIoU:153329.0000,cost:0.014s
pixAcc:72409.0000,mIoU:90474.0000,cost:0.014s
pixAcc:116106.0000,mIoU:141994.0000,cost:0.014s
pixAcc:76924.0000,mIoU:96960.0000,cost:0.014s
pixAcc:90911.0000,mIoU:111177.0000,cost:0.014s
pixAcc:88250.0000,mIoU:110436.0000,cost:0.014s
pixAcc:69599.0000,mIoU:85639.0000,cost:0.014s
pixAcc:108363.0000,mIoU:132646.0000,cost:0.014s
pixAcc:78597.0000,mIoU:96460.0000,cost:0.014s
pixAcc:81537.0000,mIoU:100654.0000,cost:0.014s
